state,year,quarter,district,insurance_count,insurance_amount
arunachal-pradesh,2022,1,"lower subansiri district",9,27520
arunachal-pradesh,2022,1,"longding district",6,18234
arunachal-pradesh,2022,1,"west siang district",7,16731
arunachal-pradesh,2022,1,"kamle district",2,3042
arunachal-pradesh,2022,1,"tirap district",22,98280
arunachal-pradesh,2022,1,"papum pare district",149,339981
arunachal-pradesh,2022,1,"kurung kumey district",2,2907
arunachal-pradesh,2022,1,"anjaw district",1,56
arunachal-pradesh,2022,1,"siang district",3,10551
arunachal-pradesh,2022,1,"lower siang district",6,16596
arunachal-pradesh,2022,1,"kra daadi district",1,56
arunachal-pradesh,2022,1,"changlang district",22,41022
arunachal-pradesh,2022,1,"pakke kessang district",2,4537
arunachal-pradesh,2022,1,"dibang valley district",2,4047
arunachal-pradesh,2022,1,"west kameng district",36,83342
arunachal-pradesh,2022,1,"shi yomi district",1,1335
arunachal-pradesh,2022,1,"east siang district",22,50073
arunachal-pradesh,2022,1,"upper subansiri district",5,7374
arunachal-pradesh,2022,1,"east kameng district",1,56
arunachal-pradesh,2022,1,"lohit district",17,33684
arunachal-pradesh,2022,1,"lepa rada district",5,32299
arunachal-pradesh,2022,1,"tawang district",11,59469
arunachal-pradesh,2022,1,"namsai district",13,25903
arunachal-pradesh,2022,2,"lower dibang valley district",13,25061
arunachal-pradesh,2022,2,"lower subansiri district",7,13328
arunachal-pradesh,2022,2,"longding district",3,6396
arunachal-pradesh,2022,2,"west siang district",24,54485
arunachal-pradesh,2022,2,"kamle district",2,1353
arunachal-pradesh,2022,2,"upper siang district",2,7050
arunachal-pradesh,2022,2,"tirap district",15,32728
arunachal-pradesh,2022,2,"papum pare district",310,752159
arunachal-pradesh,2022,2,"kurung kumey district",2,3224
arunachal-pradesh,2022,2,"lower siang district",3,9427
arunachal-pradesh,2022,2,"kra daadi district",3,4261
arunachal-pradesh,2022,2,"changlang district",25,51823
arunachal-pradesh,2022,2,"west kameng district",47,115575
arunachal-pradesh,2022,2,"east siang district",29,107087
arunachal-pradesh,2022,2,"upper subansiri district",4,1295
arunachal-pradesh,2022,2,"east kameng district",10,17345
arunachal-pradesh,2022,2,"lohit district",21,59273
arunachal-pradesh,2022,2,"lepa rada district",4,2554
arunachal-pradesh,2022,2,"tawang district",26,61225
arunachal-pradesh,2022,2,"namsai district",14,34582
arunachal-pradesh,2022,3,"lower dibang valley district",17,26960
arunachal-pradesh,2022,3,"lower subansiri district",11,26683
arunachal-pradesh,2022,3,"longding district",2,9842
arunachal-pradesh,2022,3,"west siang district",16,86941
arunachal-pradesh,2022,3,"kamle district",1,2325
arunachal-pradesh,2022,3,"upper siang district",4,6334
arunachal-pradesh,2022,3,"tirap district",23,54004
arunachal-pradesh,2022,3,"papum pare district",250,590296
arunachal-pradesh,2022,3,"anjaw district",1,1758
arunachal-pradesh,2022,3,"siang district",2,6421
arunachal-pradesh,2022,3,"lower siang district",3,4229
arunachal-pradesh,2022,3,"kra daadi district",1,5626
arunachal-pradesh,2022,3,"changlang district",22,53679
arunachal-pradesh,2022,3,"pakke kessang district",2,2018
arunachal-pradesh,2022,3,"west kameng district",42,118030
arunachal-pradesh,2022,3,"shi yomi district",1,1304
arunachal-pradesh,2022,3,"east siang district",35,54567
arunachal-pradesh,2022,3,"upper subansiri district",1,720
arunachal-pradesh,2022,3,"east kameng district",15,25996
arunachal-pradesh,2022,3,"lohit district",18,45865
arunachal-pradesh,2022,3,"lepa rada district",5,9636
arunachal-pradesh,2022,3,"tawang district",24,112439
arunachal-pradesh,2022,3,"namsai district",14,54631
arunachal-pradesh,2022,4,"lower dibang valley district",23,56348
arunachal-pradesh,2022,4,"lower subansiri district",14,21747
arunachal-pradesh,2022,4,"longding district",8,30147
arunachal-pradesh,2022,4,"west siang district",22,42902
arunachal-pradesh,2022,4,"upper siang district",10,38307
arunachal-pradesh,2022,4,"tirap district",22,69612
arunachal-pradesh,2022,4,"papum pare district",249,557453
arunachal-pradesh,2022,4,"kurung kumey district",2,1617
arunachal-pradesh,2022,4,"anjaw district",5,15990
arunachal-pradesh,2022,4,"siang district",8,25817
arunachal-pradesh,2022,4,"lower siang district",3,14716
arunachal-pradesh,2022,4,"kra daadi district",2,2861
arunachal-pradesh,2022,4,"changlang district",39,92295
arunachal-pradesh,2022,4,"pakke kessang district",4,9380
arunachal-pradesh,2022,4,"dibang valley district",1,1273
arunachal-pradesh,2022,4,"west kameng district",53,140810
arunachal-pradesh,2022,4,"shi yomi district",1,56
arunachal-pradesh,2022,4,"east siang district",33,62867
arunachal-pradesh,2022,4,"upper subansiri district",7,6741
arunachal-pradesh,2022,4,"east kameng district",11,18432
arunachal-pradesh,2022,4,"lohit district",35,74057
arunachal-pradesh,2022,4,"lepa rada district",4,11158
arunachal-pradesh,2022,4,"tawang district",32,117810
arunachal-pradesh,2022,4,"namsai district",25,52176
arunachal-pradesh,2023,1,"lower dibang valley district",17,32562
arunachal-pradesh,2023,1,"lower subansiri district",18,52453
arunachal-pradesh,2023,1,"longding district",11,38902
arunachal-pradesh,2023,1,"west siang district",26,77049
arunachal-pradesh,2023,1,"upper siang district",13,45923
arunachal-pradesh,2023,1,"tirap district",20,42058
arunachal-pradesh,2023,1,"papum pare district",214,609907
arunachal-pradesh,2023,1,"kurung kumey district",2,11687
arunachal-pradesh,2023,1,"anjaw district",1,1257
arunachal-pradesh,2023,1,"siang district",6,22077
arunachal-pradesh,2023,1,"lower siang district",11,24273
arunachal-pradesh,2023,1,"kra daadi district",1,56
arunachal-pradesh,2023,1,"changlang district",58,150506
arunachal-pradesh,2023,1,"pakke kessang district",1,323
arunachal-pradesh,2023,1,"west kameng district",58,148766
arunachal-pradesh,2023,1,"shi yomi district",2,7170
arunachal-pradesh,2023,1,"east siang district",45,131785
arunachal-pradesh,2023,1,"upper subansiri district",9,15828
arunachal-pradesh,2023,1,"east kameng district",12,38909
arunachal-pradesh,2023,1,"lohit district",22,48743
arunachal-pradesh,2023,1,"lepa rada district",2,1470
arunachal-pradesh,2023,1,"tawang district",43,177062
arunachal-pradesh,2023,1,"namsai district",14,68709
arunachal-pradesh,2023,2,"lower dibang valley district",29,51944
arunachal-pradesh,2023,2,"lower subansiri district",17,50690
arunachal-pradesh,2023,2,"longding district",6,11281
arunachal-pradesh,2023,2,"west siang district",27,85810
arunachal-pradesh,2023,2,"kamle district",1,1461
arunachal-pradesh,2023,2,"upper siang district",13,43078
arunachal-pradesh,2023,2,"tirap district",21,70549
arunachal-pradesh,2023,2,"papum pare district",261,767297
arunachal-pradesh,2023,2,"kurung kumey district",1,36
arunachal-pradesh,2023,2,"anjaw district",2,7504
arunachal-pradesh,2023,2,"siang district",4,7411
arunachal-pradesh,2023,2,"lower siang district",6,33183
arunachal-pradesh,2023,2,"changlang district",48,182270
arunachal-pradesh,2023,2,"pakke kessang district",1,3561
arunachal-pradesh,2023,2,"west kameng district",87,278705
arunachal-pradesh,2023,2,"shi yomi district",1,7321
arunachal-pradesh,2023,2,"east siang district",49,134410
arunachal-pradesh,2023,2,"upper subansiri district",9,21737
arunachal-pradesh,2023,2,"east kameng district",12,32842
arunachal-pradesh,2023,2,"lohit district",29,65934
arunachal-pradesh,2023,2,"lepa rada district",7,24722
arunachal-pradesh,2023,2,"tawang district",31,117759
arunachal-pradesh,2023,2,"namsai district",34,96483
arunachal-pradesh,2023,3,"lower dibang valley district",39,140365
arunachal-pradesh,2023,3,"lower subansiri district",13,22876
arunachal-pradesh,2023,3,"longding district",3,21679
arunachal-pradesh,2023,3,"west siang district",23,92531
arunachal-pradesh,2023,3,"kamle district",2,3826
arunachal-pradesh,2023,3,"upper siang district",10,21601
arunachal-pradesh,2023,3,"tirap district",38,135660
arunachal-pradesh,2023,3,"papum pare district",285,696186
arunachal-pradesh,2023,3,"kurung kumey district",6,11543
arunachal-pradesh,2023,3,"anjaw district",1,5822
arunachal-pradesh,2023,3,"lower siang district",6,11486
arunachal-pradesh,2023,3,"kra daadi district",1,36
arunachal-pradesh,2023,3,"changlang district",44,108703
arunachal-pradesh,2023,3,"pakke kessang district",2,1638
arunachal-pradesh,2023,3,"dibang valley district",1,1600
arunachal-pradesh,2023,3,"west kameng district",65,185636
arunachal-pradesh,2023,3,"shi yomi district",1,3580
arunachal-pradesh,2023,3,"east siang district",59,113780
arunachal-pradesh,2023,3,"upper subansiri district",11,23048
arunachal-pradesh,2023,3,"east kameng district",6,15582
arunachal-pradesh,2023,3,"lohit district",29,102043
arunachal-pradesh,2023,3,"tawang district",39,129855
arunachal-pradesh,2023,3,"namsai district",34,55710
arunachal-pradesh,2023,4,"lower dibang valley district",35,81825
arunachal-pradesh,2023,4,"lower subansiri district",13,21089
arunachal-pradesh,2023,4,"longding district",6,19165
arunachal-pradesh,2023,4,"west siang district",48,119227
arunachal-pradesh,2023,4,"kamle district",1,11668
arunachal-pradesh,2023,4,"upper siang district",10,22705
arunachal-pradesh,2023,4,"tirap district",32,74981
arunachal-pradesh,2023,4,"papum pare district",318,852980
arunachal-pradesh,2023,4,"kurung kumey district",4,1354
arunachal-pradesh,2023,4,"anjaw district",3,18810
arunachal-pradesh,2023,4,"siang district",2,4226
arunachal-pradesh,2023,4,"lower siang district",9,42641
arunachal-pradesh,2023,4,"changlang district",47,94883
arunachal-pradesh,2023,4,"pakke kessang district",3,1695
arunachal-pradesh,2023,4,"dibang valley district",2,20681
arunachal-pradesh,2023,4,"west kameng district",67,190405
arunachal-pradesh,2023,4,"shi yomi district",2,6149
arunachal-pradesh,2023,4,"east siang district",42,109484
arunachal-pradesh,2023,4,"upper subansiri district",14,19213
arunachal-pradesh,2023,4,"east kameng district",18,17324
arunachal-pradesh,2023,4,"lohit district",34,77356
arunachal-pradesh,2023,4,"lepa rada district",5,9401
arunachal-pradesh,2023,4,"tawang district",45,167579
arunachal-pradesh,2023,4,"namsai district",49,120567
arunachal-pradesh,2024,1,"lower dibang valley district",48,123833
arunachal-pradesh,2024,1,"lower subansiri district",31,47226
arunachal-pradesh,2024,1,"longding district",9,25954
arunachal-pradesh,2024,1,"west siang district",49,128839
arunachal-pradesh,2024,1,"kamle district",10,15390
arunachal-pradesh,2024,1,"upper siang district",13,23424
arunachal-pradesh,2024,1,"tirap district",25,68242
arunachal-pradesh,2024,1,"papum pare district",415,902815
arunachal-pradesh,2024,1,"kurung kumey district",5,7023
arunachal-pradesh,2024,1,"anjaw district",5,6965
arunachal-pradesh,2024,1,"siang district",7,16226
arunachal-pradesh,2024,1,"lower siang district",11,29243
arunachal-pradesh,2024,1,"kra daadi district",4,616
arunachal-pradesh,2024,1,"changlang district",60,119720
arunachal-pradesh,2024,1,"pakke kessang district",3,7499
arunachal-pradesh,2024,1,"dibang valley district",1,61
arunachal-pradesh,2024,1,"west kameng district",109,264851
arunachal-pradesh,2024,1,"shi yomi district",1,1169
arunachal-pradesh,2024,1,"east siang district",88,195598
arunachal-pradesh,2024,1,"upper subansiri district",25,54281
arunachal-pradesh,2024,1,"east kameng district",20,25006
arunachal-pradesh,2024,1,"lohit district",58,125916
arunachal-pradesh,2024,1,"lepa rada district",9,31689
arunachal-pradesh,2024,1,"tawang district",57,123314
arunachal-pradesh,2024,1,"namsai district",37,74800
arunachal-pradesh,2024,2,"lower dibang valley district",38,102160
arunachal-pradesh,2024,2,"lower subansiri district",40,58095
arunachal-pradesh,2024,2,"longding district",19,36297
arunachal-pradesh,2024,2,"west siang district",48,122922
arunachal-pradesh,2024,2,"kamle district",5,11926
arunachal-pradesh,2024,2,"upper siang district",23,80329
arunachal-pradesh,2024,2,"tirap district",26,71335
arunachal-pradesh,2024,2,"papum pare district",361,844112
arunachal-pradesh,2024,2,"kurung kumey district",2,152
arunachal-pradesh,2024,2,"anjaw district",7,5051
arunachal-pradesh,2024,2,"siang district",5,8906
arunachal-pradesh,2024,2,"lower siang district",12,35054
arunachal-pradesh,2024,2,"kra daadi district",7,8840
arunachal-pradesh,2024,2,"changlang district",55,127100
arunachal-pradesh,2024,2,"pakke kessang district",7,15963
arunachal-pradesh,2024,2,"dibang valley district",5,9412
arunachal-pradesh,2024,2,"west kameng district",100,234304
arunachal-pradesh,2024,2,"shi yomi district",3,14314
arunachal-pradesh,2024,2,"east siang district",54,143926
arunachal-pradesh,2024,2,"upper subansiri district",18,50389
arunachal-pradesh,2024,2,"east kameng district",25,25365
arunachal-pradesh,2024,2,"lohit district",55,80040
arunachal-pradesh,2024,2,"lepa rada district",8,20920
arunachal-pradesh,2024,2,"tawang district",192,165583
arunachal-pradesh,2024,2,"namsai district",32,80520
arunachal-pradesh,2024,3,"lower dibang valley district",27,49341
arunachal-pradesh,2024,3,"lower subansiri district",24,41745
arunachal-pradesh,2024,3,"longding district",8,18126
arunachal-pradesh,2024,3,"itanagar capital complex district",218,512620
arunachal-pradesh,2024,3,"west siang district",28,89620
arunachal-pradesh,2024,3,"kamle district",3,3368
arunachal-pradesh,2024,3,"upper siang district",8,20365
arunachal-pradesh,2024,3,"tirap district",35,80188
arunachal-pradesh,2024,3,"papum pare district",66,79642
arunachal-pradesh,2024,3,"kurung kumey district",4,2982
arunachal-pradesh,2024,3,"anjaw district",8,15674
arunachal-pradesh,2024,3,"siang district",3,2621
arunachal-pradesh,2024,3,"lower siang district",21,41622
arunachal-pradesh,2024,3,"kra daadi district",2,1075
arunachal-pradesh,2024,3,"changlang district",57,132735
arunachal-pradesh,2024,3,"dibang valley district",4,26967
arunachal-pradesh,2024,3,"west kameng district",115,280805
arunachal-pradesh,2024,3,"shi yomi district",4,7802
arunachal-pradesh,2024,3,"east siang district",47,127890
arunachal-pradesh,2024,3,"upper subansiri district",15,34832
arunachal-pradesh,2024,3,"east kameng district",10,4508
arunachal-pradesh,2024,3,"lohit district",32,96133
arunachal-pradesh,2024,3,"lepa rada district",6,21040
arunachal-pradesh,2024,3,"tawang district",69,166341
arunachal-pradesh,2024,3,"namsai district",28,93343
arunachal-pradesh,2024,4,"lower subansiri district",35,61313
arunachal-pradesh,2024,4,"tirap district",35,86267
arunachal-pradesh,2024,4,"papum pare district",61,126855
arunachal-pradesh,2024,4,"anjaw district",15,27869
arunachal-pradesh,2024,4,"lower siang district",14,33797
arunachal-pradesh,2024,4,"dibang valley district",8,11260
arunachal-pradesh,2024,4,"west kameng district",117,277233
arunachal-pradesh,2024,4,"shi yomi district",3,5772
arunachal-pradesh,2024,4,"east kameng district",13,9130
arunachal-pradesh,2024,4,"lohit district",34,82796
arunachal-pradesh,2024,4,"lepa rada district",10,35085
arunachal-pradesh,2024,4,"lower dibang valley district",34,63459
arunachal-pradesh,2024,4,"longding district",11,54596
arunachal-pradesh,2024,4,"itanagar capital complex district",240,638964
arunachal-pradesh,2024,4,"west siang district",55,118386
arunachal-pradesh,2024,4,"kamle district",6,66
arunachal-pradesh,2024,4,"upper siang district",15,10761
arunachal-pradesh,2024,4,"kurung kumey district",4,3824
arunachal-pradesh,2024,4,"siang district",7,24849
arunachal-pradesh,2024,4,"kra daadi district",2,1068
arunachal-pradesh,2024,4,"changlang district",55,85559
arunachal-pradesh,2024,4,"pakke kessang district",4,3434
arunachal-pradesh,2024,4,"east siang district",89,235678
arunachal-pradesh,2024,4,"upper subansiri district",23,44909
arunachal-pradesh,2024,4,"tawang district",68,223139
arunachal-pradesh,2024,4,"namsai district",41,93403
assam,2020,2,"tinsukia district",41,8863
assam,2020,2,"lakhimpur district",34,7772
assam,2020,2,"kamrup district",24,7156
assam,2020,2,"kokrajhar district",13,2874
assam,2020,2,"karbi anglong district",12,2671
assam,2020,2,"sivasagar district",16,3682
assam,2020,2,"dibrugarh district",40,8918
assam,2020,2,"south salmara mancachar district",1,238
assam,2020,2,"nagaon district",52,11413
assam,2020,2,"dhubri district",19,4391
assam,2020,2,"golaghat district",25,5694
assam,2020,2,"udalguri district",14,3303
assam,2020,2,"majuli district",4,975
assam,2020,2,"sonitpur district",46,10879
assam,2020,2,"hojai district",11,2588
assam,2020,2,"marigaon district",9,2222
assam,2020,2,"chirang district",5,1273
assam,2020,2,"cachar district",31,6886
assam,2020,2,"nalbari district",16,3098
assam,2020,2,"west karbi anglong district",2,462
assam,2020,2,"dhemaji district",15,3549
assam,2020,2,"karimganj district",27,6710
assam,2020,2,"bongaigaon district",30,6850
assam,2020,2,"dima hasao district",8,1453
assam,2020,2,"baksa district",20,4391
assam,2020,2,"charaideo district",11,2481
assam,2020,2,"darrang district",3,750
assam,2020,2,"kamrup metropolitan district",388,73071
assam,2020,2,"hailakandi district",4,1088
assam,2020,2,"barpeta district",22,5473
assam,2020,2,"goalpara district",9,2048
assam,2020,2,"biswanath district",3,1172
assam,2020,2,"jorhat district",23,5640
assam,2020,3,"tinsukia district",82,25873
assam,2020,3,"lakhimpur district",41,9115
assam,2020,3,"kamrup district",100,27927
assam,2020,3,"kokrajhar district",39,15632
assam,2020,3,"karbi anglong district",43,11732
assam,2020,3,"sivasagar district",56,17709
assam,2020,3,"dibrugarh district",95,28716
assam,2020,3,"south salmara mancachar district",7,1508
assam,2020,3,"nagaon district",111,29094
assam,2020,3,"dhubri district",32,7379
assam,2020,3,"golaghat district",56,13665
assam,2020,3,"udalguri district",23,6346
assam,2020,3,"majuli district",1,281
assam,2020,3,"sonitpur district",88,26070
assam,2020,3,"hojai district",29,7810
assam,2020,3,"marigaon district",49,8771
assam,2020,3,"chirang district",20,3667
assam,2020,3,"cachar district",98,28618
assam,2020,3,"nalbari district",33,11032
assam,2020,3,"west karbi anglong district",6,1790
assam,2020,3,"dhemaji district",38,10985
assam,2020,3,"karimganj district",46,13114
assam,2020,3,"bongaigaon district",72,20029
assam,2020,3,"dima hasao district",8,2605
assam,2020,3,"baksa district",27,6136
assam,2020,3,"charaideo district",20,4314
assam,2020,3,"darrang district",43,10388
assam,2020,3,"kamrup metropolitan district",698,186125
assam,2020,3,"hailakandi district",28,6793
assam,2020,3,"barpeta district",98,22486
assam,2020,3,"goalpara district",34,10049
assam,2020,3,"biswanath district",23,4173
assam,2020,3,"jorhat district",62,19518
assam,2020,4,"tinsukia district",121,110036
assam,2020,4,"lakhimpur district",67,58751
assam,2020,4,"kamrup district",110,73472
assam,2020,4,"kokrajhar district",54,30297
assam,2020,4,"karbi anglong district",29,13855
assam,2020,4,"sivasagar district",48,41901
assam,2020,4,"dibrugarh district",97,85549
assam,2020,4,"south salmara mancachar district",10,6446
assam,2020,4,"nagaon district",147,104375
assam,2020,4,"dhubri district",62,32215
assam,2020,4,"golaghat district",54,56656
assam,2020,4,"udalguri district",27,20128
assam,2020,4,"majuli district",7,2174
assam,2020,4,"sonitpur district",101,76365
assam,2020,4,"hojai district",50,28113
assam,2020,4,"marigaon district",34,19642
assam,2020,4,"chirang district",13,8033
assam,2020,4,"cachar district",91,63874
assam,2020,4,"nalbari district",49,25777
assam,2020,4,"west karbi anglong district",13,9967
assam,2020,4,"dhemaji district",48,26663
assam,2020,4,"karimganj district",45,24940
assam,2020,4,"bongaigaon district",69,45817
assam,2020,4,"dima hasao district",5,4452
assam,2020,4,"baksa district",46,29371
assam,2020,4,"charaideo district",21,18610
assam,2020,4,"darrang district",57,39620
assam,2020,4,"kamrup metropolitan district",626,534531
assam,2020,4,"hailakandi district",22,14368
assam,2020,4,"barpeta district",121,89658
assam,2020,4,"goalpara district",50,28453
assam,2020,4,"biswanath district",37,21580
assam,2020,4,"jorhat district",82,61112
assam,2021,1,"tinsukia district",108,99440
assam,2021,1,"lakhimpur district",61,56410
assam,2021,1,"kamrup district",137,97851
assam,2021,1,"kokrajhar district",83,60512
assam,2021,1,"karbi anglong district",39,22446
assam,2021,1,"sivasagar district",47,34100
assam,2021,1,"dibrugarh district",91,81680
assam,2021,1,"south salmara mancachar district",16,8769
assam,2021,1,"nagaon district",151,91536
assam,2021,1,"dhubri district",76,58877
assam,2021,1,"golaghat district",75,49067
assam,2021,1,"udalguri district",52,36482
assam,2021,1,"majuli district",8,5398
assam,2021,1,"sonitpur district",162,151386
assam,2021,1,"hojai district",57,50103
assam,2021,1,"marigaon district",78,43375
assam,2021,1,"chirang district",20,18398
assam,2021,1,"cachar district",138,111672
assam,2021,1,"nalbari district",77,63771
assam,2021,1,"west karbi anglong district",14,14529
assam,2021,1,"dhemaji district",84,48008
assam,2021,1,"karimganj district",64,75039
assam,2021,1,"bongaigaon district",56,38810
assam,2021,1,"dima hasao district",20,12733
assam,2021,1,"baksa district",61,26406
assam,2021,1,"charaideo district",36,31975
assam,2021,1,"darrang district",56,42029
assam,2021,1,"kamrup metropolitan district",909,638404
assam,2021,1,"hailakandi district",43,56147
assam,2021,1,"barpeta district",138,94523
assam,2021,1,"goalpara district",74,29286
assam,2021,1,"biswanath district",46,17216
assam,2021,1,"jorhat district",90,68041
assam,2021,2,"tinsukia district",123,137739
assam,2021,2,"lakhimpur district",81,79568
assam,2021,2,"kamrup district",131,151795
assam,2021,2,"kokrajhar district",60,80473
assam,2021,2,"karbi anglong district",56,73096
assam,2021,2,"sivasagar district",58,92699
assam,2021,2,"dibrugarh district",138,138262
assam,2021,2,"south salmara mancachar district",19,12826
assam,2021,2,"nagaon district",139,99192
assam,2021,2,"dhubri district",92,89465
assam,2021,2,"golaghat district",82,64125
assam,2021,2,"udalguri district",61,40310
assam,2021,2,"majuli district",8,17050
assam,2021,2,"sonitpur district",166,149754
assam,2021,2,"hojai district",64,92629
assam,2021,2,"marigaon district",80,66635
assam,2021,2,"chirang district",22,24284
assam,2021,2,"cachar district",125,110721
assam,2021,2,"nalbari district",82,64676
assam,2021,2,"west karbi anglong district",7,2365
assam,2021,2,"dhemaji district",65,42833
assam,2021,2,"karimganj district",64,53606
assam,2021,2,"bongaigaon district",77,44942
assam,2021,2,"dima hasao district",9,12950
assam,2021,2,"baksa district",73,62463
assam,2021,2,"charaideo district",26,25866
assam,2021,2,"darrang district",74,52259
assam,2021,2,"kamrup metropolitan district",910,790743
assam,2021,2,"hailakandi district",37,30411
assam,2021,2,"barpeta district",150,166761
assam,2021,2,"goalpara district",69,54203
assam,2021,2,"biswanath district",32,17158
assam,2021,2,"jorhat district",85,66263
assam,2021,3,"tinsukia district",193,219360
assam,2021,3,"lakhimpur district",78,118491
assam,2021,3,"kamrup district",187,191043
assam,2021,3,"kokrajhar district",72,134902
assam,2021,3,"karbi anglong district",66,105671
assam,2021,3,"sivasagar district",106,156429
assam,2021,3,"dibrugarh district",244,369625
assam,2021,3,"south salmara mancachar district",21,18695
assam,2021,3,"nagaon district",256,414468
assam,2021,3,"dhubri district",109,152257
assam,2021,3,"golaghat district",105,129787
assam,2021,3,"udalguri district",57,61975
assam,2021,3,"majuli district",5,4365
assam,2021,3,"sonitpur district",254,379958
assam,2021,3,"hojai district",71,89128
assam,2021,3,"marigaon district",86,127294
assam,2021,3,"chirang district",47,41595
assam,2021,3,"cachar district",139,190170
assam,2021,3,"nalbari district",82,103013
assam,2021,3,"west karbi anglong district",11,6952
assam,2021,3,"dhemaji district",66,131804
assam,2021,3,"karimganj district",106,146731
assam,2021,3,"bongaigaon district",112,130453
assam,2021,3,"dima hasao district",12,17333
assam,2021,3,"baksa district",120,133440
assam,2021,3,"charaideo district",70,116767
assam,2021,3,"darrang district",110,127300
assam,2021,3,"kamrup metropolitan district",1130,1219595
assam,2021,3,"hailakandi district",55,60686
assam,2021,3,"barpeta district",246,472172
assam,2021,3,"goalpara district",78,140655
assam,2021,3,"biswanath district",80,110801
assam,2021,3,"jorhat district",121,187950
assam,2021,4,"tinsukia district",376,622789
assam,2021,4,"lakhimpur district",210,371675
assam,2021,4,"kamrup district",360,561224
assam,2021,4,"kokrajhar district",107,213000
assam,2021,4,"karbi anglong district",232,416010
assam,2021,4,"sivasagar district",163,327216
assam,2021,4,"dibrugarh district",422,720457
assam,2021,4,"south salmara mancachar district",32,64000
assam,2021,4,"nagaon district",450,872663
assam,2021,4,"dhubri district",255,370821
assam,2021,4,"golaghat district",174,336881
assam,2021,4,"udalguri district",146,227377
assam,2021,4,"majuli district",49,96903
assam,2021,4,"sonitpur district",415,668817
assam,2021,4,"hojai district",132,240963
assam,2021,4,"marigaon district",154,212999
assam,2021,4,"chirang district",63,116323
assam,2021,4,"cachar district",322,545014
assam,2021,4,"nalbari district",162,263611
assam,2021,4,"west karbi anglong district",11,19760
assam,2021,4,"dhemaji district",76,152746
assam,2021,4,"karimganj district",164,341261
assam,2021,4,"bongaigaon district",191,314157
assam,2021,4,"dima hasao district",42,84904
assam,2021,4,"baksa district",163,312400
assam,2021,4,"charaideo district",135,257951
assam,2021,4,"darrang district",204,275280
assam,2021,4,"kamrup metropolitan district",2250,2848340
assam,2021,4,"hailakandi district",133,215862
assam,2021,4,"barpeta district",470,805931
assam,2021,4,"goalpara district",138,286804
assam,2021,4,"biswanath district",164,254489
assam,2021,4,"jorhat district",257,543440
assam,2022,1,"tinsukia district",643,1177509
assam,2022,1,"lakhimpur district",458,902458
assam,2022,1,"kamrup district",530,905037
assam,2022,1,"kokrajhar district",300,425255
assam,2022,1,"karbi anglong district",289,474786
assam,2022,1,"sivasagar district",405,850834
assam,2022,1,"dibrugarh district",873,1470129
assam,2022,1,"south salmara mancachar district",50,80871
assam,2022,1,"nagaon district",841,1525020
assam,2022,1,"dhubri district",361,586525
assam,2022,1,"golaghat district",651,1131690
assam,2022,1,"udalguri district",215,381777
assam,2022,1,"majuli district",64,144864
assam,2022,1,"sonitpur district",735,1366384
assam,2022,1,"hojai district",280,515727
assam,2022,1,"marigaon district",322,570219
assam,2022,1,"chirang district",145,246552
assam,2022,1,"cachar district",594,1093901
assam,2022,1,"nalbari district",246,396188
assam,2022,1,"west karbi anglong district",31,68127
assam,2022,1,"dhemaji district",261,539714
assam,2022,1,"karimganj district",427,858733
