state,year,quarter,total_transactions,amount_millions
kerala,2024,4,233112441,273639.97
ladakh,2018,1,6089,12.53
ladakh,2018,2,15010,47.33
ladakh,2018,3,24864,84.09
ladakh,2018,4,35211,135.52
ladakh,2019,1,46145,152.86
ladakh,2019,2,68772,259.26
ladakh,2019,3,92396,331.13
ladakh,2019,4,84706,324.69
ladakh,2020,1,116419,377.64
ladakh,2020,2,155010,523.79
ladakh,2020,3,228222,835.49
ladakh,2020,4,332134,1111.96
ladakh,2021,1,275415,983.42
ladakh,2021,2,399716,1427.26
ladakh,2021,3,590987,2213.98
ladakh,2021,4,630187,2153.54
ladakh,2022,1,630015,2025.04
ladakh,2022,2,1118073,3543.32
ladakh,2022,3,1190858,3605.2
ladakh,2022,4,1083372,2894.48
ladakh,2023,1,1567246,3849.02
ladakh,2023,2,2943815,7191.1
ladakh,2023,3,3621366,8250.57
ladakh,2023,4,3150218,6942.99
ladakh,2024,1,2987101,6085.39
ladakh,2024,2,5327359,10125.72
ladakh,2024,3,6913885,12652.87
ladakh,2024,4,5711284,10854.42
lakshadweep,2018,1,778,1.93
lakshadweep,2018,2,2132,6.19
lakshadweep,2018,3,1703,4.34
lakshadweep,2018,4,1642,4.46
lakshadweep,2019,1,2481,8.79
lakshadweep,2019,2,2926,9.24
lakshadweep,2019,3,3104,9.65
lakshadweep,2019,4,3765,11.27
lakshadweep,2020,1,5151,13.5
lakshadweep,2020,2,7220,16.94
lakshadweep,2020,3,8589,21.31
lakshadweep,2020,4,11650,30.11
lakshadweep,2021,1,9085,27.04
lakshadweep,2021,2,11384,27.38
lakshadweep,2021,3,13370,38.8
lakshadweep,2021,4,15470,51
lakshadweep,2022,1,16397,54.94
lakshadweep,2022,2,17569,55.93
lakshadweep,2022,3,15241,47.58
lakshadweep,2022,4,17147,54.81
lakshadweep,2023,1,29520,85.32
lakshadweep,2023,2,34918,97.99
lakshadweep,2023,3,43757,94.53
lakshadweep,2023,4,63479,119.83
lakshadweep,2024,1,81176,130.05
lakshadweep,2024,2,109085,146.21
lakshadweep,2024,3,157478,192.41
lakshadweep,2024,4,197777,247.76
madhya-pradesh,2018,1,8025395,8681.6
madhya-pradesh,2018,2,10561412,15924.08
madhya-pradesh,2018,3,17126985,24149.74
madhya-pradesh,2018,4,21397555,33905.61
madhya-pradesh,2019,1,37301049,48070.28
madhya-pradesh,2019,2,40846013,68334.57
madhya-pradesh,2019,3,53610411,77676.32
madhya-pradesh,2019,4,68131989,104687.93
madhya-pradesh,2020,1,79366746,126737.28
madhya-pradesh,2020,2,76340573,147922.02
madhya-pradesh,2020,3,108579881,205701.68
madhya-pradesh,2020,4,153652541,284275.14
madhya-pradesh,2021,1,201998498,343533.95
madhya-pradesh,2021,2,223314680,425500.77
madhya-pradesh,2021,3,311443334,504412.6
madhya-pradesh,2021,4,404308084,656887.49
madhya-pradesh,2022,1,472703058,747665.14
madhya-pradesh,2022,2,544899829,867024.74
madhya-pradesh,2022,3,731259559,1032908.49
madhya-pradesh,2022,4,898828268,1302999.86
madhya-pradesh,2023,1,734566970,1062026.6
madhya-pradesh,2023,2,848037060,1202440.95
madhya-pradesh,2023,3,978812593,1237822
madhya-pradesh,2023,4,1102294613,1426502.88
madhya-pradesh,2024,1,1286156614,1625420.23
madhya-pradesh,2024,2,1435472057,1779679.95
madhya-pradesh,2024,3,1537738457,1761082.47
madhya-pradesh,2024,4,1685401835,2003305.07
maharashtra,2018,1,16387034,21711.61
maharashtra,2018,2,22285740,36357.06
maharashtra,2018,3,31538538,52260.82
maharashtra,2018,4,46090223,79518.94
maharashtra,2019,1,75079069,111420.69
maharashtra,2019,2,101149853,153294.47
maharashtra,2019,3,148735581,199617.51
maharashtra,2019,4,201260620,272994.43
maharashtra,2020,1,238944081,319995.2
maharashtra,2020,2,184790761,296359.52
maharashtra,2020,3,268310924,440307.08
maharashtra,2020,4,407621004,622155.53
maharashtra,2021,1,517860240,769887.35
maharashtra,2021,2,573616486,915115.06
maharashtra,2021,3,792874060,1159257.31
maharashtra,2021,4,1010731502,1475358.47
maharashtra,2022,1,1169506438,1681399.27
maharashtra,2022,2,1407533113,2006272.38
maharashtra,2022,3,1486389417,1947579.19
maharashtra,2022,4,1688775272,2210470.84
maharashtra,2023,1,1848268499,2362285.91
maharashtra,2023,2,2063717848,2606004.61
maharashtra,2023,3,2290678587,2752172.18
maharashtra,2023,4,2572162725,3098014.93
maharashtra,2024,1,2835770481,3372898.89
maharashtra,2024,2,3063494802,3573189.33
maharashtra,2024,3,3287403995,3687268.66
maharashtra,2024,4,3634231839,4151028.45
manipur,2018,1,84069,128.05
manipur,2018,2,151721,253.21
manipur,2018,3,189258,383.33
manipur,2018,4,236110,605.68
manipur,2019,1,265409,659.9
manipur,2019,2,257425,722.79
manipur,2019,3,345008,863.55
manipur,2019,4,449344,1200.9
manipur,2020,1,818801,2598.59
manipur,2020,2,1083068,3198.94
manipur,2020,3,1420168,4615.98
manipur,2020,4,1627852,5602.22
manipur,2021,1,2303535,7070.29
manipur,2021,2,3086275,7889.83
manipur,2021,3,3941396,10406.86
manipur,2021,4,4687439,12658.47
manipur,2022,1,5313679,14144.5
manipur,2022,2,6105632,14922.91
manipur,2022,3,6352742,15381.43
manipur,2022,4,6428670,15625.96
manipur,2023,1,3258383,8585.56
manipur,2023,2,1606271,4463.88
manipur,2023,3,865478,3608.29
manipur,2023,4,2113200,6800.33
manipur,2024,1,3845564,9242.97
manipur,2024,2,5063324,10898
manipur,2024,3,5700096,11671.52
manipur,2024,4,5750423,12061.71
meghalaya,2018,1,49571,66.25
meghalaya,2018,2,67857,117
meghalaya,2018,3,110290,209.85
meghalaya,2018,4,161132,337.59
meghalaya,2019,1,208741,399.04
meghalaya,2019,2,232286,492.93
meghalaya,2019,3,306550,612.22
meghalaya,2019,4,365981,742.44
meghalaya,2020,1,502283,1120.13
meghalaya,2020,2,635395,1153.74
meghalaya,2020,3,597579,1237.06
meghalaya,2020,4,754008,1804.24
meghalaya,2021,1,747646,2055.52
meghalaya,2021,2,909594,2193.62
meghalaya,2021,3,1097731,2769
meghalaya,2021,4,1440193,3848.77
meghalaya,2022,1,1674750,4662.34
meghalaya,2022,2,2044649,5281.49
meghalaya,2022,3,4359165,9603.3
meghalaya,2022,4,3932448,8996.54
meghalaya,2023,1,4164705,10084.84
meghalaya,2023,2,5077212,11084.51
meghalaya,2023,3,6029842,11406.63
meghalaya,2023,4,7268384,13873.06
meghalaya,2024,1,8531262,15629.3
meghalaya,2024,2,11089661,16794.61
meghalaya,2024,3,12110124,16292.96
meghalaya,2024,4,14166380,19674.93
mizoram,2018,1,18561,45.23
mizoram,2018,2,27051,83.51
mizoram,2018,3,39316,116.6
mizoram,2018,4,55242,190.43
mizoram,2019,1,70306,218.16
mizoram,2019,2,75671,248.02
mizoram,2019,3,98094,278.79
mizoram,2019,4,125239,368.69
mizoram,2020,1,153609,392.08
mizoram,2020,2,198462,457.19
mizoram,2020,3,254703,707.94
mizoram,2020,4,322607,986.52
mizoram,2021,1,329575,1101.11
mizoram,2021,2,394340,1122.87
mizoram,2021,3,478529,1473.75
mizoram,2021,4,553329,1770.67
mizoram,2022,1,604917,1945.16
mizoram,2022,2,643977,2003.19
mizoram,2022,3,659038,1946.27
mizoram,2022,4,693774,2037.91
mizoram,2023,1,1052595,2955.62
mizoram,2023,2,1208930,3191.81
mizoram,2023,3,1310413,3106.13
mizoram,2023,4,1500728,3540.84
mizoram,2024,1,1627016,3630.1
mizoram,2024,2,1977079,3798.48
mizoram,2024,3,2360206,3923.89
mizoram,2024,4,2702443,4461.16
nagaland,2018,1,42845,78.01
nagaland,2018,2,65599,153.33
nagaland,2018,3,94371,241.79
nagaland,2018,4,139333,388.01
nagaland,2019,1,168579,441.94
nagaland,2019,2,188753,520.07
nagaland,2019,3,261878,650.96
nagaland,2019,4,317170,834.54
nagaland,2020,1,378051,894.78
nagaland,2020,2,517566,1137.67
nagaland,2020,3,736319,2009.65
nagaland,2020,4,847825,2773.08
nagaland,2021,1,975897,3107.45
nagaland,2021,2,1130791,3156.29
nagaland,2021,3,1356792,3987.42
nagaland,2021,4,1631483,4939.08
nagaland,2022,1,1925952,5544.95
nagaland,2022,2,2031329,5740.29
nagaland,2022,3,1894113,5364.4
nagaland,2022,4,2476205,6969.97
nagaland,2023,1,2685570,7814.4
nagaland,2023,2,2922001,8021.4
nagaland,2023,3,3422331,8616.3
nagaland,2023,4,3797179,9674.58
nagaland,2024,1,4258924,10044.92
nagaland,2024,2,5598700,11012.91
nagaland,2024,3,6981635,12281.32
nagaland,2024,4,7921552,13959.1
odisha,2018,1,5809821,4627.63
odisha,2018,2,8158144,8488.31
odisha,2018,3,30052155,23094.52
odisha,2018,4,21142798,23429.87
odisha,2019,1,34031942,35427.13
odisha,2019,2,29512024,44754.85
odisha,2019,3,41422272,57304.58
odisha,2019,4,64995633,79769.37
odisha,2020,1,53682307,91956.8
odisha,2020,2,50028576,91733.04
odisha,2020,3,66033829,122463.94
odisha,2020,4,92324950,178302.66
odisha,2021,1,111460358,213397.74
odisha,2021,2,131824337,245864.12
odisha,2021,3,177362674,303780.72
odisha,2021,4,233925366,385251.05
odisha,2022,1,263633499,451227.31
odisha,2022,2,313451598,510035.01
odisha,2022,3,386687326,564545.56
odisha,2022,4,445714743,652217.06
odisha,2023,1,482896088,753968.98
odisha,2023,2,544597829,799332.05
odisha,2023,3,622397603,840298.34
odisha,2023,4,732137476,978791.87
odisha,2024,1,864178452,1156388.72
odisha,2024,2,944027735,1164839.28
odisha,2024,3,1023940349,1177233.94
odisha,2024,4,1143097568,1305457.59
puducherry,2018,1,104212,165.83
puducherry,2018,2,130261,285.8
puducherry,2018,3,190271,417.66
puducherry,2018,4,307964,625.69
puducherry,2019,1,501092,906.47
puducherry,2019,2,580077,1211.45
puducherry,2019,3,716826,1460.71
puducherry,2019,4,1012655,1932.03
puducherry,2020,1,1207921,2205.28
puducherry,2020,2,1033383,1960.03
puducherry,2020,3,1730902,3598.08
puducherry,2020,4,2716003,4930.53
puducherry,2021,1,3309432,5899.31
puducherry,2021,2,3751387,6498.83
puducherry,2021,3,5121726,8729.97
puducherry,2021,4,6368810,10423.65
puducherry,2022,1,7359176,12083.47
puducherry,2022,2,8643687,13778.75
puducherry,2022,3,7042727,10854.32
puducherry,2022,4,7556127,11142.2
puducherry,2023,1,10144295,14222.39
puducherry,2023,2,11130326,15386.73
puducherry,2023,3,12379641,16444.49
puducherry,2023,4,12986163,17024.51
puducherry,2024,1,13446950,17386.48
puducherry,2024,2,14564895,18242.01
puducherry,2024,3,16008711,19535
puducherry,2024,4,16559677,19965.39
punjab,2018,1,1870433,2780.76
punjab,2018,2,2581163,4684.67
punjab,2018,3,3462108,7065.69
punjab,2018,4,4887137,10781.98
punjab,2019,1,7172137,13574.49
punjab,2019,2,8509830,18614.79
punjab,2019,3,10706812,22905.82
punjab,2019,4,13698625,29989.8
punjab,2020,1,15217784,31374.19
punjab,2020,2,14081294,30284.65
punjab,2020,3,17209573,40123.09
punjab,2020,4,22997925,53775.41
punjab,2021,1,26770835,58690.89
punjab,2021,2,32171248,69531.06
punjab,2021,3,42533489,85992.56
punjab,2021,4,52359360,110710.13
punjab,2022,1,57758302,118389.98
punjab,2022,2,72272823,137345.43
punjab,2022,3,84177897,149319.44
punjab,2022,4,91835180,168107.43
punjab,2023,1,96910821,175508.68
punjab,2023,2,117290289,194181.58
punjab,2023,3,132161181,205225.58
punjab,2023,4,142228995,231139.46
punjab,2024,1,142537179,223303.42
punjab,2024,2,171946137,244435.04
punjab,2024,3,187554720,256116.16
punjab,2024,4,199509220,289125.65
rajasthan,2018,1,7591690,8926.29
rajasthan,2018,2,9973697,15559.09
rajasthan,2018,3,14257098,24040.77
rajasthan,2018,4,20959723,37909.09
rajasthan,2019,1,43956040,61141.16
rajasthan,2019,2,50009286,89107.31
rajasthan,2019,3,67303617,112468.29
rajasthan,2019,4,85074242,159452.41
rajasthan,2020,1,102258812,190308.24
rajasthan,2020,2,101954656,193763.27
rajasthan,2020,3,149088676,293678.31
rajasthan,2020,4,190283435,386034.78
rajasthan,2021,1,252730919,491492.58
rajasthan,2021,2,287477039,561702.77
rajasthan,2021,3,400284753,710511.33
rajasthan,2021,4,487621597,903934.42
rajasthan,2022,1,564962220,1022050.18
rajasthan,2022,2,661170150,1152833.52
rajasthan,2022,3,767541360,1238489.26
rajasthan,2022,4,865574848,1456956.7
rajasthan,2023,1,921096686,1554913.38
rajasthan,2023,2,1073459338,1698455.59
rajasthan,2023,3,1237232167,1800225.44
rajasthan,2023,4,1349472154,2066379.61
rajasthan,2024,1,1599474007,2350500.17
rajasthan,2024,2,1818855106,2497094.54
rajasthan,2024,3,1935405035,2472257.72
rajasthan,2024,4,2043469547,2793049.37
sikkim,2018,1,44078,64.65
sikkim,2018,2,74578,143.69
sikkim,2018,3,108500,235.08
sikkim,2018,4,154533,383.14
sikkim,2019,1,240287,457.99
sikkim,2019,2,388244,738.89
sikkim,2019,3,552436,884.72
sikkim,2019,4,767070,1176.51
sikkim,2020,1,528118,1053.48
sikkim,2020,2,517731,1054.62
sikkim,2020,3,596435,1400.93
sikkim,2020,4,735035,1919.28
sikkim,2021,1,800189,2217.67
sikkim,2021,2,976714,2424.9
sikkim,2021,3,1160594,2989.34
sikkim,2021,4,1584345,4196.78
sikkim,2022,1,1744302,4367.43
sikkim,2022,2,2322081,5611.11
sikkim,2022,3,2396758,5162.88
sikkim,2022,4,3058339,6458.39
sikkim,2023,1,3396128,6762.57
sikkim,2023,2,4412967,8580.35
sikkim,2023,3,4804937,8107.24
sikkim,2023,4,4857324,8590.61
sikkim,2024,1,5820146,9455.72
sikkim,2024,2,7188322,11296.52
sikkim,2024,3,7713781,10569.83
sikkim,2024,4,8916870,12641.1
tamil-nadu,2018,1,6726622,11261.56
tamil-nadu,2018,2,9992128,20125.84
tamil-nadu,2018,3,15774078,29330.09
tamil-nadu,2018,4,22457444,43302.07
tamil-nadu,2019,1,32275045,56204.04
tamil-nadu,2019,2,32171737,64207.68
tamil-nadu,2019,3,41410183,78959.6
tamil-nadu,2019,4,56596411,103190.87
tamil-nadu,2020,1,66953473,116569.69
tamil-nadu,2020,2,51870110,95826.51
tamil-nadu,2020,3,70277825,143841.42
tamil-nadu,2020,4,111179701,206473.2
tamil-nadu,2021,1,136556674,248668.14
tamil-nadu,2021,2,146158442,263487.34
tamil-nadu,2021,3,204357404,365207.32
tamil-nadu,2021,4,259155976,443723.95
tamil-nadu,2022,1,294573150,512789.2
tamil-nadu,2022,2,354506937,590134.73
tamil-nadu,2022,3,393496175,631879.22
tamil-nadu,2022,4,436316636,675689.67
tamil-nadu,2023,1,461212387,715583.67
tamil-nadu,2023,2,498429638,776362.55
tamil-nadu,2023,3,556085008,833105.26
tamil-nadu,2023,4,593481381,872870.67
tamil-nadu,2024,1,640327197,913861.11
tamil-nadu,2024,2,705083686,985151.15
tamil-nadu,2024,3,778536701,1050779.59
tamil-nadu,2024,4,820423888,1087632.88
telangana,2018,1,8522766,13308.2
telangana,2018,2,10764670,23017.2
telangana,2018,3,19332703,32030.09
telangana,2018,4,28921154,49509.09
telangana,2019,1,65290702,95523.26
telangana,2019,2,89610379,155676.44
telangana,2019,3,121495376,201930.02
telangana,2019,4,163572258,280746.77
telangana,2020,1,199409525,371343.78
telangana,2020,2,152055143,321531.84
telangana,2020,3,236372126,505961.14
telangana,2020,4,343643787,696350.44
telangana,2021,1,412572110,799359.26
telangana,2021,2,495867544,1027958.33
telangana,2021,3,622886768,1178289.13
telangana,2021,4,775989773,1463758.19
telangana,2022,1,886453385,1670638.17
telangana,2022,2,1063382557,1951414.54
telangana,2022,3,1628165401,2706325.87
telangana,2022,4,1819506832,2978252.56
telangana,2023,1,1440331458,2372581.73
telangana,2023,2,1665430971,2698149.94
telangana,2023,3,1875045924,2870202.9
telangana,2023,4,2020822178,3116417.47
telangana,2024,1,2179385307,3203769.3
telangana,2024,2,2417264357,3461542.43
telangana,2024,3,2610137835,3551316.98
telangana,2024,4,2822451603,3859050.54
tripura,2018,1,148157,137.98
tripura,2018,2,214559,236.89
tripura,2018,3,377703,453.86
tripura,2018,4,448059,624.89
tripura,2019,1,580926,756.89
tripura,2019,2,532558,841.82
tripura,2019,3,711717,1017.38
tripura,2019,4,801824,1215.4
tripura,2020,1,924502,1588.78
tripura,2020,2,1052520,1769.18
tripura,2020,3,1317885,2341.82
tripura,2020,4,1651890,3182.13
tripura,2021,1,1511423,3335.34
tripura,2021,2,1744429,3468.15
tripura,2021,3,2081200,4364.13
tripura,2021,4,2520693,5496.93
tripura,2022,1,2871190,6247.33
tripura,2022,2,3418664,6878.27
tripura,2022,3,4256579,8648.35
tripura,2022,4,5198190,10452.97
tripura,2023,1,7118687,13288.28
tripura,2023,2,7929543,13919.13
tripura,2023,3,9108762,15249.22
tripura,2023,4,10140910,16819.9
tripura,2024,1,11042639,17752.19
tripura,2024,2,12787547,18137.43
tripura,2024,3,14400581,19948.85
tripura,2024,4,15945159,22409.91
uttar-pradesh,2018,1,12537805,13939.97
uttar-pradesh,2018,2,17710943,25720.2
uttar-pradesh,2018,3,26515356,37012.11
uttar-pradesh,2018,4,36100767,55096.74
uttar-pradesh,2019,1,57324504,76524.18
uttar-pradesh,2019,2,58883500,98917.52
uttar-pradesh,2019,3,68623959,111268.14
uttar-pradesh,2019,4,86905005,145538.93
uttar-pradesh,2020,1,97239132,172416.43
uttar-pradesh,2020,2,100851965,178744.02
uttar-pradesh,2020,3,127405259,248689.96
uttar-pradesh,2020,4,178167517,357428.83
uttar-pradesh,2021,1,204499547,396287.59
uttar-pradesh,2021,2,241949131,482172.49
uttar-pradesh,2021,3,306543384,557080.84
uttar-pradesh,2021,4,406157932,773890.97
uttar-pradesh,2022,1,473953246,883123.17
uttar-pradesh,2022,2,595298776,1067515.18
uttar-pradesh,2022,3,703589072,1121370.05
uttar-pradesh,2022,4,836369071,1376378.8
uttar-pradesh,2023,1,1002557722,1636936.27
uttar-pradesh,2023,2,1211410582,1836622.08
uttar-pradesh,2023,3,1354622466,1861748.36
uttar-pradesh,2023,4,1566705382,2257441.16
uttar-pradesh,2024,1,1785296948,2477543.11
uttar-pradesh,2024,2,2135538658,2704223.36
uttar-pradesh,2024,3,2285955833,2717475.21
uttar-pradesh,2024,4,2544890265,3214106.52
uttarakhand,2018,1,1246685,1508.55
uttarakhand,2018,2,1704122,2679.76
uttarakhand,2018,3,2229132,3726.57
uttarakhand,2018,4,3178761,5654.27
uttarakhand,2019,1,5546001,7183.53
uttarakhand,2019,2,4813275,8588.53
uttarakhand,2019,3,5710476,9729.03
uttarakhand,2019,4,7362116,12573.71
uttarakhand,2020,1,9131784,16158.08
uttarakhand,2020,2,9047770,16094.19
uttarakhand,2020,3,11818935,22103.51
uttarakhand,2020,4,17613271,31792.74
uttarakhand,2021,1,20608402,36288.19
uttarakhand,2021,2,24000432,40990.82
uttarakhand,2021,3,31042284,50527.5
uttarakhand,2021,4,40361280,66148.11
uttarakhand,2022,1,44560772,70978.78
uttarakhand,2022,2,58166878,88313.37
uttarakhand,2022,3,63996519,92641.26
uttarakhand,2022,4,77983880,115496.05
uttarakhand,2023,1,79385675,107179.91
uttarakhand,2023,2,102758214,134072.87
uttarakhand,2023,3,106284687,128762.4
uttarakhand,2023,4,118071440,148083.45
uttarakhand,2024,1,123234577,150276.84
uttarakhand,2024,2,158564982,180612.92
uttarakhand,2024,3,159278815,173414.87
uttarakhand,2024,4,171136132,194908.79
west-bengal,2018,1,11710225,10625.98
west-bengal,2018,2,18082446,18629.18
west-bengal,2018,3,53705416,41843.93
west-bengal,2018,4,36513548,40489.62
west-bengal,2019,1,47626388,50164.67
west-bengal,2019,2,47023535,57105.69
west-bengal,2019,3,66444829,70540.53
west-bengal,2019,4,96805838,88203.61
west-bengal,2020,1,66250381,96653.31
west-bengal,2020,2,57676797,100099.43
west-bengal,2020,3,79954504,156813.36
west-bengal,2020,4,100340645,199165.49
west-bengal,2021,1,118254052,242937.21
west-bengal,2021,2,141897437,279434.81
west-bengal,2021,3,181712988,362457.07
west-bengal,2021,4,225029560,462218.04
west-bengal,2022,1,260505092,551426.66
west-bengal,2022,2,315742141,648575.18
west-bengal,2022,3,356792388,704749.9
west-bengal,2022,4,405847597,787775.63
